	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.1	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
ASV.100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1000	0	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	7
ASV.1001	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV.1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
ASV.1003	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1004	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV.1005	0	8	83	9	18	56	21	28	13	7	15	65	24	37	10	0	13	0	10	0	7	19	27	0	6	41	0	69	90	24	22	10	0	12	0	0	5	20	20	12	0	37
ASV.1006	0	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	8
ASV.1007	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
ASV.1008	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
ASV.101	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1010	26	25	32	10	13	16	8	8	0	0	0	11	23	23	0	0	22	18	0	7	20	8	4	0	9	0	0	0	0	0	6	0	0	0	0	0	0	30	0	14	0	19
ASV.1011	47	65	48	11	25	18	0	0	10	0	0	13	8	23	16	0	14	62	9	0	14	17	56	30	24	0	0	0	0	0	22	0	0	0	9	27	39	25	0	29	23	17
ASV.1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV.1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1014	12	13	169	23	33	63	17	14	19	0	6	86	40	66	18	3	8	0	9	17	23	35	41	21	7	45	0	13	84	0	39	0	0	24	13	0	0	13	64	14	0	17
ASV.1015	53	42	129	153	33	60	0	0	0	0	0	114	94	66	56	54	29	63	45	68	64	82	56	79	0	0	0	0	0	0	114	0	0	0	40	48	25	61	0	50	33	141
ASV.1016	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	46	44	0	0	0	65	0	0	0	0	0	0	0	0	0
ASV.1018	27	0	48	218	130	607	30	17	15	0	360	0	56	318	43	0	21	0	0	0	0	9	0	0	0	2202	0	27	389	10	109	112	93	49	163	214	0	33	0	185	340	38
ASV.1019	17	0	0	0	0	13	0	0	0	0	0	0	4	2	3	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0
ASV.102	0	41	0	0	31	0	294	16	41	62	62	55	71	27	72	0	0	94	29	0	29	0	38	0	0	0	0	301	20	0	101	0	0	39	11	0	9	60	31	32	20	385
ASV.1020	63	78	137	115	183	58	61	58	0	25	0	101	41	90	49	62	50	63	96	69	86	104	61	86	0	140	0	96	0	0	75	57	98	0	131	36	0	81	0	0	0	111
ASV.1021	15	0	28	496	189	183	1045	63	317	1515	856	149	950	184	125	14	0	41	65	0	0	0	0	0	0	373	0	4197	1862	1730	0	21	780	85	0	0	0	1185	541	513	18	2959
ASV.1022	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.1023	0	0	65	0	0	31	0	0	0	0	0	0	0	0	29	0	0	20	0	0	0	0	0	27	0	0	0	0	0	0	14	0	0	0	0	13	12	0	0	0	0	0
ASV.1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1025	10	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	11	20	6	0	13	7	0	0	0	0	0	0	0	0	0	9	0	0	14	0	0	0	0
ASV.1026	26	0	9	0	0	0	0	0	0	0	0	0	0	8	16	0	0	29	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	35	36	25	0	0	0	15	0
ASV.1027	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5	20	0	0	0	0	0	31	53	0	0	0
ASV.1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV.1029	10	0	0	3	0	17	0	0	0	0	0	0	18	0	5	15	8	11	0	12	5	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	8	0	0
ASV.103	135	88	42	92	62	59	26	51	0	79	0	39	41	61	53	124	64	110	35	109	62	94	81	107	63	59	31	31	100	48	55	0	69	40	43	53	123	132	0	93	111	79
ASV.1030	15	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1031	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV.1032	633	396	1452	972	928	779	58	213	27	0	71	1231	811	610	654	515	631	799	246	556	582	676	547	534	328	74	0	125	53	404	718	41	32	37	371	390	402	981	65	453	272	933
ASV.1033	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
ASV.1034	79	116	147	92	106	123	75	121	87	41	139	71	96	105	84	125	177	149	80	109	188	143	109	177	121	79	91	49	50	35	108	82	62	137	93	179	115	169	102	88	81	125
ASV.1035	0	0	0	76	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	32	0	0	41	26	0	0	0	0	0	0	0	0	51	0	19	0	0	0	0	0	0
ASV.1036	0	0	8	0	0	0	0	0	0	0	0	7	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0
ASV.1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	20	0	0	8	0	0	0	20	0	0
ASV.1038	0	0	0	0	0	0	12	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	13	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV.1039	0	0	14	0	78	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	38	0	0	17	29	9	16	0	0	10	0	0	0	5	0	0	18	0	14	0
ASV.104	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	0	0	0	0	0	0
ASV.1040	0	0	0	0	0	0	79	109	110	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	42	100	0	0	185	321	0	0	0	0	0	37	0	0	0
ASV.1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0
ASV.1042	0	0	12	0	0	5	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	165	0	0	7	0	0	0	0
ASV.1044	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0
ASV.1045	412	313	324	256	576	381	155	344	264	84	152	208	124	292	169	319	545	508	258	446	349	341	453	418	225	308	187	126	52	92	396	287	232	224	392	335	770	413	329	248	311	103
ASV.1046	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	12	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0
ASV.1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	19	0	0	0	0	0	0
ASV.1048	60	0	78	0	0	31	46	45	36	24	32	50	26	0	24	91	44	70	46	0	54	43	34	40	0	39	0	0	0	0	24	0	0	0	0	46	66	50	43	0	0	0
ASV.1049	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.105	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	6	0
ASV.1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	5	0	0	0	0	8	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	10
ASV.1051	0	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1052	0	0	0	0	0	0	0	0	13	36	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1053	0	0	24	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	26	0	0	5	0	0	0	0	0	0	0	0	0
ASV.1054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1055	27	21	23	8	10	50	0	19	0	11	20	15	25	29	12	28	31	22	16	30	13	31	76	30	45	0	6	0	0	0	37	0	0	18	19	33	0	26	10	14	15	0
ASV.1056	212	121	182	253	246	163	84	261	122	63	97	150	149	103	124	172	283	210	103	182	296	170	182	169	184	135	55	98	0	93	246	93	69	60	188	241	227	163	120	104	69	99
ASV.1057	0	103	328	46	83	188	67	59	131	93	72	148	50	128	127	38	19	78	18	43	0	42	189	72	18	57	29	7	0	26	87	0	44	161	44	10	8	59	103	7	15	69
ASV.1058	0	0	18	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	7	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1059	0	14	0	0	0	12	0	0	0	0	0	0	0	0	6	15	0	29	0	0	0	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	24
ASV.1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1061	0	0	0	0	0	0	0	0	0	0	0	0	17	222	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1062	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1063	0	0	0	0	23	0	0	0	0	0	0	0	0	18	0	13	0	0	0	15	0	20	0	0	0	0	0	0	0	0	25	0	0	0	40	16	8	0	0	0	0	0
ASV.1064	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1065	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1066	0	0	5	0	0	0	13	43	18	14	14	8	0	0	0	0	0	13	14	0	0	0	12	0	0	29	14	25	0	22	12	15	57	18	7	0	0	0	47	0	0	12
ASV.1067	0	0	46	20	14	29	0	20	0	0	0	32	19	19	0	0	0	0	0	0	0	0	27	0	0	28	0	0	20	0	24	0	0	15	28	24	0	0	19	0	0	0
ASV.1068	393	111	215	314	156	193	190	153	78	111	87	204	189	165	113	106	134	307	197	191	215	204	204	108	105	176	61	179	122	407	189	158	114	90	47	57	94	150	172	135	137	265
ASV.1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.107	73	27	0	18	0	11	0	50	14	10	0	0	0	0	21	23	13	4	0	52	22	0	0	91	0	201	37	46	62	11	0	35	286	0	0	0	21	53	96	168	33	0
ASV.1070	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	11	0	0	0	0	3	0	0
ASV.1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
ASV.1072	53	27	71	57	46	37	0	30	14	0	35	43	30	60	21	27	28	32	21	30	36	36	49	56	21	11	11	0	4	13	46	16	17	16	21	20	26	46	20	66	32	52
ASV.1073	0	0	49	54	0	27	34	45	28	0	26	22	0	0	0	45	25	43	21	36	47	46	0	21	0	0	0	45	0	16	39	0	0	39	0	48	0	0	38	0	0	16
ASV.1074	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1076	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
ASV.1077	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	94	0	0	0	0	0	0	0	0	0
ASV.1078	85	57	53	42	77	63	0	0	0	0	0	65	35	51	41	138	132	199	36	129	100	68	98	76	115	0	0	0	0	0	76	0	0	0	101	144	140	82	0	107	100	25
ASV.1079	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.108	0	4	14	0	10	17	9	22	0	0	3	32	24	19	0	0	0	0	11	4	0	11	8	0	0	0	0	0	0	0	35	6	20	23	0	0	0	13	7	0	0	4
ASV.1080	0	0	23	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1081	0	0	0	0	0	0	0	0	20	0	0	0	0	0	5	0	0	23	0	0	0	0	365	0	0	0	0	442	1798	0	0	0	34	0	0	428	0	562	21	7	0	24
ASV.1082	29	20	17	45	0	23	0	11	13	23	16	0	0	0	0	23	47	28	8	0	38	14	20	16	41	15	0	0	0	0	38	36	0	0	26	43	47	22	20	0	27	0
ASV.1083	0	0	0	0	0	0	45	65	30	27	52	0	0	10	0	0	0	0	34	0	0	0	0	0	0	39	0	43	25	14	0	28	32	42	0	0	0	0	48	0	0	0
ASV.1084	43	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	33	25	0	20	0	31	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	29	0
ASV.1085	0	0	0	0	0	9	0	0	0	0	0	0	0	11	0	15	0	0	21	6	4	0	0	0	11	0	0	0	0	0	0	0	0	0	14	0	0	8	0	0	0	0
ASV.1086	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
ASV.1087	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1088	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ASV.1089	0	0	0	0	0	0	8	0	0	0	44	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	14	0	0	0
ASV.109	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
ASV.1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	23	0	0
ASV.1091	4	9	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1092	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10
ASV.1093	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	15	0	13	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1095	0	0	42	11	100	139	0	0	0	0	0	32	0	16	59	0	0	12	0	0	0	24	39	6	0	0	0	0	0	0	83	0	0	0	24	0	0	15	0	0	7	51
ASV.1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	11	0
ASV.1097	0	0	14	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV.1098	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1099	0	0	0	0	0	0	0	0	0	0	0	0	17	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	15	21	0	25	0	27	9	0	21	10	0	0	0	0	0	0	0	0	0	11	0	0	21	0	0	21	38	0
ASV.110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.1102	0	0	0	0	26	9	0	0	0	0	0	0	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0
ASV.1103	65	26	31	0	55	13	0	0	0	0	0	33	0	17	0	45	0	61	22	0	0	0	22	0	30	0	0	0	0	0	0	0	0	0	0	48	86	0	0	0	0	0
ASV.1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	15	13	0	0	0	0	0	0	0	0	0
ASV.1105	0	0	0	0	0	0	25	0	17	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	22	17	0	0	30	0	18	0	0	0	0	28	0	0	0
ASV.1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ASV.1107	0	37	0	0	0	0	64	39	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	11	10	0	0	0	0	0	0	0	0	0	19	0	0	0
ASV.1108	0	0	0	0	5	0	0	13	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ASV.1109	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV.111	28	0	31	21	7	0	33	30	19	9	33	35	17	0	0	0	0	27	19	25	19	31	15	0	16	31	24	0	18	29	26	22	22	22	0	15	0	0	35	0	9	0
ASV.1110	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0
ASV.1111	0	0	0	0	3	0	0	7	0	0	0	0	18	0	0	0	0	0	49	0	0	0	0	0	0	11	0	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1112	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1113	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	11	0	5	12	0	0	8	0	0
ASV.1114	8	6	0	0	8	0	0	0	0	0	0	0	0	17	0	0	0	0	4	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV.1115	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	17	0	0	0
ASV.1116	17	10	8	0	0	0	9	6	17	4	13	0	0	0	10	6	0	10	0	0	0	0	10	6	0	10	0	0	0	7	11	6	11	13	12	0	13	0	7	0	0	0
ASV.1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	18	3	4	0	0	0	0	0
ASV.1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.112	6	12	0	7	0	0	27	33	15	11	20	0	3	6	0	0	7	15	8	11	0	0	0	0	8	8	13	33	14	30	4	25	0	32	0	3	0	14	25	10	13	8
ASV.1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV.1121	0	0	21	13	86	7	0	0	0	0	0	22	7	14	0	0	11	10	11	0	0	19	23	9	0	0	0	0	0	0	0	0	0	0	8	17	0	13	0	0	0	23
ASV.1122	0	0	28	0	52	27	0	0	0	0	0	0	0	12	35	0	0	0	0	0	0	0	16	0	0	10	0	0	0	0	21	0	20	0	0	0	0	0	0	0	0	0
ASV.1123	0	0	14	0	0	0	50	30	0	21	37	0	0	0	0	0	0	0	25	0	0	0	0	0	0	20	16	11	0	14	0	27	19	39	0	0	0	0	28	0	0	0
ASV.1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
ASV.1126	0	13	0	0	0	0	0	13	8	0	14	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1127	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1128	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1129	0	0	0	0	12	7	0	0	0	0	0	4	0	0	5	7	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
ASV.113	0	0	115	0	0	0	130	0	0	0	28	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	106	42	126	0	0	0	0	0	0	0	0	0	0	0	77
ASV.1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	5	0	5	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.1131	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
