	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.2413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2414	0	0	209	0	129	81	0	61	61	0	0	50	0	0	0	59	53	81	0	0	0	0	0	0	0	98	0	73	0	0	181	0	0	0	0	53	0	0	0	0	0	0
ASV.2415	0	0	0	0	0	0	0	47	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	9	0	17	0	12	11	0	0	6	4	9	0	0	0	0	0	0	0	0
ASV.2416	162	80	122	91	336	81	0	35	25	69	43	106	45	118	65	75	203	227	72	225	134	159	211	121	165	37	31	19	31	96	196	31	94	17	238	239	232	124	29	136	134	102
ASV.2417	0	21	0	0	0	0	0	0	0	0	0	0	0	0	25	26	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	30	24	0
ASV.2418	111	65	0	0	0	53	101	154	133	52	107	0	0	0	0	0	46	47	51	67	40	0	0	107	55	261	137	109	74	77	48	166	163	119	79	67	75	104	141	35	0	0
ASV.2419	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.242	18	2	37	43	214	203	0	0	0	0	0	25	63	246	17	11	7	0	55	0	17	5	92	0	0	0	0	0	0	0	36	0	0	0	0	0	0	109	0	0	10	31
ASV.2420	15	8	5	7	3	0	0	0	5	8	0	7	0	3	9	17	3	18	7	19	11	7	0	10	25	0	0	0	0	3	0	0	2	0	0	14	15	0	0	26	12	0
ASV.2421	0	8	13	0	0	10	13	16	12	5	6	7	0	5	0	0	3	0	9	35	0	0	0	0	0	21	11	5	13	0	0	15	37	32	0	8	14	0	27	9	7	0
