	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV.10	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	uncultured	NA
ASV.100	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV.1000	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1001	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus	uncultured_bacterium
ASV.1002	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Caminicellaceae	Paramaledivibacter	uncultured_bacterium
ASV.1003	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedensaceae	uncultured_bacterium
ASV.1004	Bacteria	Proteobacteria	Gammaproteobacteria	eub62A3	eub62A3	eub62A3	NA
ASV.1005	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	uncultured_delta
ASV.1006	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_planctomycete
ASV.1007	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV.1008	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	uncultured	uncultured_bacterium
ASV.1009	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV.101	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured	uncultured_Bacteroidetes
ASV.1010	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.1012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	uncultured_bacterium
ASV.1013	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_organism
ASV.1014	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	uncultured_Bacteroidetes
ASV.1015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.1016	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	uncultured_bacterium
ASV.1017	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA
ASV.1018	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured_proteobacterium
ASV.1019	Bacteria	WS2	WS2	WS2	WS2	WS2	uncultured_Firmicutes
ASV.102	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hellea	uncultured_Alphaproteobacteria
ASV.1020	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	NA
ASV.1021	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	uncultured_organism
ASV.1022	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia	Geothermobacteraceae	Geothermobacter	uncultured_bacterium
ASV.1023	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	uncultured_organism
ASV.1024	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV.1025	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Marinicaulis	uncultured_bacterium
ASV.1026	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	NA
ASV.1027	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	NA	NA
ASV.1028	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA
ASV.1029	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.103	Bacteria	Proteobacteria	Gammaproteobacteria	OM182_clade	OM182_clade	OM182_clade	uncultured_gamma
ASV.1030	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19_marine_sediment_group	uncultured_Planctomycetales
ASV.1031	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1032	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	uncultured_bacterium
ASV.1033	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Arctic95B-14	Arctic95B-14	uncultured_bacterium
ASV.1034	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV.1035	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	uncultured_planctomycete
ASV.1036	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	NA
ASV.1037	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola	Algicola_bacteriolytica
ASV.1038	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	uncultured_bacterium
ASV.1039	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	uncultured	sulfur-oxidizing_bacterium
ASV.104	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_bacterium
ASV.1040	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta_2	Spirochaeta_isovalerica
ASV.1041	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	Gaiella_sp.
ASV.1042	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.1043	Bacteria	Verrucomicrobiota	Lentisphaeria	P.palmC41	P.palmC41	P.palmC41	uncultured_bacterium
ASV.1044	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	NA
ASV.1045	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	NA
ASV.1046	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	NA
ASV.1047	Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	NA	NA
ASV.1048	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
ASV.1049	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	NA
ASV.105	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	uncultured_bacterium
ASV.1050	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1051	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA
ASV.1052	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	uncultured	uncultured_bacterium
ASV.1053	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis	uncultured_Alphaproteobacteria
ASV.1054	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	uncultured_bacterium
ASV.1055	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
ASV.1056	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	Flexibacteraceae_bacterium
ASV.1057	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	NA
ASV.1058	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NA
ASV.1059	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19	PB19	uncultured_deep-sea
ASV.106	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	NA
ASV.1060	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	NA
ASV.1061	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	Desulfofaba	NA
ASV.1062	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_delta
ASV.1063	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV.1064	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales	Dadabacteriales	uncultured_bacterium
ASV.1065	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	uncultured_Bacteroidetes
ASV.1066	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19	PB19	uncultured_organism
ASV.1067	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.1068	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	BD2-7	BD2-7	uncultured_organism
ASV.1069	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga	uncultured_bacterium
ASV.107	Bacteria	Verrucomicrobiota	Lentisphaeria	SS1-B-02-17	SS1-B-02-17	SS1-B-02-17	uncultured_Lentisphaerae
ASV.1070	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	uncultured	uncultured_bacterium
ASV.1071	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
ASV.1072	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	uncultured_bacterium
ASV.1073	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1_clade	uncultured_bacterium
ASV.1074	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
ASV.1075	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV.1076	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.1077	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.1078	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	NA	NA
ASV.1079	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_Planctomyces
ASV.108	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	NA
ASV.1080	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA
ASV.1081	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	NA
ASV.1082	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	uncultured_delta
ASV.1083	Bacteria	Planctomycetota	Pla3_lineage	Pla3_lineage	Pla3_lineage	Pla3_lineage	uncultured_bacterium
ASV.1084	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.1085	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.1086	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA	NA
ASV.1087	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula_sp.
ASV.1088	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade	KI89A_clade	uncultured_gamma
ASV.1089	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_Flexibacteraceae
ASV.109	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	uncultured	NA
ASV.1090	Bacteria	Proteobacteria	Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetofaba_australis
ASV.1091	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1092	Bacteria	Planctomycetota	Pla4_lineage	Pla4_lineage	Pla4_lineage	Pla4_lineage	uncultured_bacterium
ASV.1093	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	uncultured_bacterium
ASV.1094	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV.1095	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	uncultured_bacterium
ASV.1096	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.1097	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV.1098	Bacteria	Firmicutes	Bacilli	Bacillales	Salisediminibacteriaceae	Salipaludibacillus	NA
ASV.1099	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	NA
ASV.11	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23	JTB23	JTB23	NA
ASV.110	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Gimesia	NA
ASV.1100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured_Alphaproteobacteria
ASV.1101	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Aestuariispira	NA
ASV.1102	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Marinobacterium	NA
ASV.1103	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	NA
ASV.1104	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Acanthopleuribacter_pedis
ASV.1105	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	uncultured_Bacteroidetes
ASV.1106	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	uncultured_bacterium
ASV.1107	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	uncultured_bacterium
ASV.1108	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.1109	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	NA
ASV.111	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	uncultured_bacterium
ASV.1110	Bacteria	Proteobacteria	Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetofaba_australis
ASV.1111	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorpha	NA
ASV.1112	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	NA
ASV.1113	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NA
ASV.1114	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	NA
ASV.1115	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV.1116	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV.1117	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	uncultured_bacterium
ASV.1118	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1119	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	Salinispira_pacifica
ASV.112	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	uncultured_bacterium
ASV.1120	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	uncultured_bacterium
ASV.1121	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1122	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	uncultured	uncultured_delta
ASV.1123	Bacteria	Acidobacteriota	Subgroup_22	Subgroup_22	Subgroup_22	Subgroup_22	NA
ASV.1124	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	uncultured_deep-sea
ASV.1125	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	uncultured_delta
ASV.1126	Bacteria	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	uncultured_gamma
ASV.1127	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1128	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Parahaliea	uncultured_bacterium
ASV.1129	Bacteria	NA	NA	NA	NA	NA	NA
ASV.113	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
ASV.1130	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	NA
ASV.1131	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	NA
ASV.1132	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1133	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA
ASV.1134	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedensaceae	uncultured_bacterium
ASV.1135	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	uncultured	uncultured_Bacteroidetes
ASV.1136	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	PAUC26f	PAUC26f	uncultured_bacterium
ASV.1137	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacterales	Desulfatiferula	uncultured_bacterium
ASV.1138	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	uncultured_bacterium
ASV.1139	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	uncultured	NA
ASV.1140	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured	uncultured_organism
ASV.1141	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Nisaea	NA
ASV.1142	Bacteria	Myxococcota	Polyangia	Polyangiales	Eel-36e1D6	Eel-36e1D6	uncultured_bacterium
ASV.1143	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	marine_metagenome
ASV.1144	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1145	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade	KI89A_clade	NA
ASV.1146	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	uncultured_organism
ASV.1147	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04	uncultured_bacterium
ASV.1148	Bacteria	Proteobacteria	Gammaproteobacteria	JTB23	JTB23	JTB23	metagenome
ASV.1149	Bacteria	NA	NA	NA	NA	NA	NA
ASV.115	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.1150	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_bacterium
ASV.1151	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured	bacterium_1D806
ASV.1152	Bacteria	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	uncultured_bacterium
ASV.1153	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.1154	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	NA
ASV.1155	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured	NA
ASV.1156	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum_litoreum
ASV.1157	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	uncultured_Flammeovirgaceae
ASV.1158	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter	uncultured_bacterium
ASV.1159	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_marine
ASV.116	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	NA
ASV.1160	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8	BD7-8	BD7-8	uncultured_bacterium
ASV.1161	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV.1162	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured_bacterium
ASV.1163	Bacteria	Planctomycetota	Pla3_lineage	Pla3_lineage	Pla3_lineage	Pla3_lineage	uncultured_bacterium
ASV.1164	Bacteria	Myxococcota	Polyangia	Polyangiales	Eel-36e1D6	Eel-36e1D6	uncultured_bacterium
ASV.1165	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacteraceae	uncultured_bacterium
ASV.1166	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.1167	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1_clade	NA
ASV.1168	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	metagenome
ASV.1169	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.117	Bacteria	NA	NA	NA	NA	NA	NA
ASV.1170	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_bacterium
ASV.1171	Bacteria	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11	uncultured_bacterium
ASV.1172	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured	uncultured_Alphaproteobacteria
ASV.1173	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	metagenome
ASV.1174	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	uncultured	uncultured	uncultured_Alphaproteobacteria
ASV.1175	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	uncultured	uncultured_planctomycete
ASV.1176	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8	BD7-8	BD7-8	NA
ASV.1177	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	uncultured	NA
ASV.1178	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	uncultured	uncultured_bacterium
ASV.1179	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	NA
ASV.118	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Marinobacteraceae	Marinobacter	NA
ASV.1180	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV.1181	Bacteria	Sumerlaeota	Sumerlaeia	uncultured	uncultured	uncultured	uncultured_bacterium
ASV.1182	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Nitrincolaceae	uncultured_gamma
ASV.1183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.1184	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	uncultured_bacterium
ASV.1185	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.1186	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.1187	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	metagenome
ASV.1188	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	uncultured_delta
ASV.1189	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
ASV.119	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	uncultured_bacterium
ASV.1190	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	NA
ASV.1191	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	uncultured	uncultured_bacterium
ASV.1192	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade	KI89A_clade	uncultured_bacterium
ASV.1193	Bacteria	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	uncultured_bacterium
ASV.1194	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5	uncultured_archaeon
ASV.1195	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.1196	Bacteria	Planctomycetota	Pla4_lineage	Pla4_lineage	Pla4_lineage	Pla4_lineage	uncultured_bacterium
ASV.1197	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NA
ASV.1198	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	uncultured_sediment
ASV.1199	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	uncultured_bacterium
ASV.12	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Algimonas	uncultured_bacterium
ASV.120	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	EF100-94H03	EF100-94H03	uncultured_Parvibaculum
ASV.1200	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	MBIC10086	Pseudanabaena_cf.
ASV.1201	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	uncultured	uncultured_[Caedibacter]
ASV.1202	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	uncultured_bacterium
ASV.1203	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	spirochete_endosymbiont
ASV.1204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	NA	NA
ASV.1205	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	NA
ASV.1206	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV.1207	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured	uncultured_bacterium
ASV.1208	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV.1209	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	PAUC26f	PAUC26f	uncultured_bacterium
ASV.121	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	uncultured_organism
