	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV.2536	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV.2537	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV.2538	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	uncultured_bacterium
ASV.2539	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema_isoptericolens
ASV.254	Bacteria	NA	NA	NA	NA	NA	NA
ASV.2540	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	uncultured_Flavobacteriaceae
ASV.2541	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	uncultured_bacterium
ASV.2542	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	uncultured_Bacteroidetes
ASV.2543	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus	uncultured_bacterium
ASV.2544	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	marine_metagenome
ASV.2545	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystaceae	uncultured_bacterium
ASV.2546	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.2547	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1_clade	uncultured_bacterium
ASV.2548	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
ASV.2549	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	uncultured_Lewinella
ASV.255	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	NA
ASV.2550	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	PS1_clade	uncultured_bacterium
ASV.2551	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella	uncultured_bacterium
ASV.2552	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae	uncultured_bacterium
ASV.2553	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV.2554	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_Algisphaera
ASV.2555	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	uncultured	planctomycete_DDSW1318
ASV.2556	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.2557	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV.2558	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA
ASV.2559	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA
ASV.256	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV.2560	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1	NA
ASV.2561	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade	uncultured_deep-sea
ASV.2562	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV.2563	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Aestuariispira	uncultured_Alphaproteobacteria
ASV.2564	Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	NA	NA
ASV.2565	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured_Alphaproteobacteria
ASV.2566	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	uncultured_bacterium
ASV.2567	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus	NA
ASV.2568	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	uncultured_Bacteroidetes
ASV.2569	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	NA
ASV.257	Bacteria	NA	NA	NA	NA	NA	NA
ASV.2570	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	uncultured	uncultured_gamma
ASV.2571	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV.2572	Bacteria	Proteobacteria	Gammaproteobacteria	AT-s2-59	AT-s2-59	AT-s2-59	uncultured_bacterium
ASV.2573	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	uncultured_organism
ASV.2574	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV.2575	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	NA	NA
ASV.2576	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.2577	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	NA
ASV.2578	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	uncultured	uncultured_bacterium
ASV.2579	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Reinekea	bacterium_GUDS1130
ASV.258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.2580	Bacteria	Verrucomicrobiota	Lentisphaeria	NA	NA	NA	NA
ASV.2581	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured	NA
ASV.2582	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	NA
ASV.2583	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	BD2-7	BD2-7	uncultured_bacterium
ASV.2584	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV.2585	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax	Bacteriovorax_sp.
ASV.2586	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	uncultured_bacterium
ASV.2587	Bacteria	Planctomycetota	Phycisphaerae	C86	C86	C86	NA
